HomeTeam,AwayTeam,HGS,AGS,HGC,AGC,HCS,ACS,HCST,ACST,HCF,ACF,HCC,ACC,HCY,ACY,HCR,ACR,B365H,B365D,B365A,HMP,AMP,HCP,ACP
Arsenal,Southampton,74,24,31,53,495,350,167,114,295,357,183,130,46,57,0,0,1.18,6.5,17,31,31,74,23
Fulham,Leeds,42,40,41,60,356,380,122,123,318,372,144,165,71,64,1,2,2.3,3.25,3.25,30,31,42,29
Crystal Palace,Everton,31,25,41,46,334,334,109,116,372,316,135,137,69,67,3,1,2.05,3.2,3.75,31,31,36,27
Liverpool,Nottingham,56,24,38,56,469,307,172,93,303,357,180,109,44,72,1,0,1.16,7.5,17,30,31,47,27
Brentford,Aston Villa,47,44,42,40,320,354,129,130,288,350,132,127,41,60,1,1,2.5,3.25,2.87,31,31,43,50
Leicester,Wolves,41,26,55,42,337,347,117,111,329,366,111,150,46,65,2,6,2.45,3.3,2.9,31,31,25,34
Newcastle,Tottenham,49,57,24,45,421,433,149,162,318,353,200,170,52,62,2,3,1.83,3.75,4.2,30,31,56,53
Bournemouth,West Ham,31,29,59,41,281,381,109,107,322,297,115,166,57,37,0,0,2.75,3.25,2.6,31,30,33,31
