HomeTeam,AwayTeam,HGS,AGS,HGC,AGC,HCS,ACS,HCST,ACST,HCF,ACF,HCC,ACC,HCY,ACY,HCR,ACR,B365H,B365D,B365A,HMP,AMP,HCP,ACP
Crystal Palace,West Ham,31,34,43,43,360,406,115,119,396,314,154,174,74,39,3,0,2.62,3.1,2.75,33,32,37,34
Brighton,Wolves,55,29,40,44,472,372,186,117,318,393,193,163,39,73,0,6,1.5,4.33,6.5,30,33,49,37
Brentford,Nottingham,50,29,43,60,343,330,135,103,314,376,142,114,46,75,1,0,1.65,3.8,5.5,33,33,47,30
Man United,Aston Villa,48,46,39,41,458,382,169,135,344,363,157,139,65,65,2,1,1.72,3.9,4.6,31,33,60,54
Fulham,Man City,44,82,43,29,369,500,127,184,346,291,154,201,74,40,1,1,12,6,1.25,32,31,45,73
Bournemouth,Leeds,32,42,63,63,314,403,116,128,340,403,127,174,61,72,0,2,2.55,3.5,2.7,33,33,36,30
Newcastle,Southampton,59,27,26,57,461,369,165,122,333,380,223,138,53,62,2,0,1.3,5.5,11,32,33,62,24
Liverpool,Tottenham,61,60,41,53,507,462,182,172,320,373,195,179,44,66,1,3,1.53,4.5,5.75,32,33,53,54
Leicester,Everton,44,26,57,50,367,357,128,126,360,337,118,141,49,70,2,2,2,3.5,3.75,33,33,29,28
Arsenal,Chelsea,78,30,38,35,528,403,175,128,317,339,193,182,48,66,0,3,1.65,4,5,33,32,75,39
