HomeTeam,AwayTeam,HGS,AGS,HGC,AGC,HCS,ACS,HCST,ACST,HCF,ACF,HCC,ACC,HCY,ACY,HCR,ACR,B365H,B365D,B365A,HMP,AMP,HCP,ACP
Leeds,Newcastle,44,62,69,29,422,495,136,175,431,354,180,243,75,56,2,2,4.33,4.2,1.7,35,34,30,65
Southampton,Fulham,31,50,64,49,392,399,130,138,399,375,151,163,66,75,0,1,2.75,3.3,2.5,35,35,24,48
Chelsea,Nottingham,34,34,39,65,421,344,137,110,360,406,191,116,71,78,3,0,1.5,4.5,6,34,35,42,33
Aston Villa,Tottenham,46,64,43,57,405,480,139,182,382,396,149,189,68,71,1,3,2.25,3.6,2.9,35,35,54,57
Man United,Wolves,49,30,41,50,507,388,184,121,381,424,170,173,73,77,2,6,1.36,5,7.5,34,35,63,40
Crystal Palace,Bournemouth,35,37,47,67,383,336,123,127,420,361,166,136,80,63,3,0,1.83,3.6,4.2,35,35,40,39
Everton,Man City,33,89,53,31,390,546,139,206,364,313,151,222,76,43,2,1,9,4.75,1.36,35,34,32,82
Brentford,West Ham,52,38,45,50,362,435,144,129,329,340,151,188,49,42,1,0,2.05,3.5,3.4,35,35,50,37
Arsenal,Brighton,83,63,39,45,554,539,191,205,340,353,204,218,49,45,0,0,1.72,4.2,4.2,35,33,81,55
Leicester,Liverpool,49,67,64,44,400,549,143,194,385,361,127,213,56,51,2,1,5.25,4.33,1.57,35,35,30,62
