HomeTeam,AwayTeam,HGS,AGS,HGC,AGC,HCS,ACS,HCST,ACST,HCF,ACF,HCC,ACC,HCY,ACY,HCR,ACR,B365H,B365D,B365A,HMP,AMP,HCP,ACP
Wolves,Crystal Palace,27,31,44,41,363,346,114,111,381,384,157,143,68,70,6,3,2.25,3.25,3.3,32,32,34,37
Aston Villa,Fulham,45,44,41,42,368,368,132,127,358,329,131,152,62,72,1,1,1.75,3.8,4.5,32,31,51,45
Leeds,Leicester,41,43,62,56,390,352,125,125,387,346,171,112,68,47,2,2,2.25,3.5,3.1,32,32,29,28
Nottingham,Brighton,26,54,59,37,318,455,98,179,371,310,112,186,73,39,0,0,6.5,4.2,1.53,32,29,27,49
Chelsea,Brentford,30,48,33,43,388,336,124,134,335,298,177,140,65,44,3,1,1.7,4,4.75,31,32,39,44
West Ham,Liverpool,33,59,41,40,399,487,117,178,307,313,171,189,39,44,0,1,3.9,3.9,1.85,31,31,34,50
Man City,Arsenal,78,77,28,34,486,520,175,173,279,304,200,190,37,47,1,0,1.55,4.5,5.25,30,32,70,75
Southampton,Bournemouth,27,31,56,63,358,298,120,114,371,330,132,123,62,58,0,0,2.25,3.4,3.2,32,32,24,33
Everton,Newcastle,25,55,46,25,344,446,121,157,330,326,138,209,68,52,2,2,5,3.6,1.72,32,31,28,59
Tottenham,Man United,58,46,51,37,444,441,165,161,365,336,173,149,65,63,3,2,2.8,3.6,2.37,32,30,53,59
